,LBRT,LBRT,LBRT,LBRT,LBRT,LBRT,LBRT,ROIV,ROIV,ROIV,ROIV,ROIV,ROIV,ROIV,FHI,FHI,FHI,FHI,FHI,FHI,FHI,DINO,DINO,DINO,DINO,DINO,DINO,DINO
Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-09-25 00:00:00-04:00,10.05313243,10.37120845,10.0049389,10.2651825,1199000,0,0,0,0,0,0,0,0,0,25.4869203,25.74739206,25.22644554,25.5579586,381500,0,0,45.44496014,46.68705317,45.44496014,46.3309288,1539400,0,0
2019-09-26 00:00:00-04:00,10.13987923,10.40012279,10.00493754,10.13987923,814500,0,0,0,0,0,0,0,0,0,25.63689153,25.76318152,25.42377661,25.52638817,315500,0,0,46.14852388,46.66099585,45.63605192,46.4785881,1410400,0,0
2019-09-27 00:00:00-04:00,10.04349325,10.47723317,10.04349325,10.45795631,742100,0,0,0,0,0,0,0,0,0,25.68425169,25.83422011,25.50271002,25.62110519,470500,0,0,46.55676339,47.21689848,46.09640838,46.53939438,1890200,0,0
2019-09-30 00:00:00-04:00,10.42903985,10.59771675,10.2651824,10.43867874,789000,0,0,0,0,0,0,0,0,0,25.61321349,25.83422022,25.27380858,25.58164024,478100,0,0,46.58281101,46.99104894,46.50463723,46.59149551,1289100,0,0
2019-10-01 00:00:00-04:00,10.4290406,10.63145271,10.13024235,10.13024235,796000,0,0,0,0,0,0,0,0,0,25.66056684,25.71582153,24.87914858,24.99754524,432000,0,0,46.88682646,46.88682646,45.88794273,46.29618073,1742000,0,0
2019-10-02 00:00:00-04:00,10.01457842,10.33265446,9.918191354,9.966384888,673700,0,0,0,0,0,0,0,0,0,24.75286466,24.98965803,24.08194807,24.29506302,364600,0,0,45.86188289,45.91399986,44.56767629,44.84562683,1673900,0,0
2019-10-03 00:00:00-04:00,9.918190081,10.16879569,9.908551192,10.1591568,659800,0,0,0,0,0,0,0,0,0,24.16087601,24.37398941,23.92408116,24.31084442,298700,0,0,44.61978684,45.94005349,44.37658096,45.85319519,1383400,0,0
2019-10-04 00:00:00-04:00,10.21698892,10.2940982,9.407340627,9.937467575,1155300,0,0,0,0,0,0,0,0,0,24.26348977,24.43713814,23.81358144,24.29506302,580300,0,0,46.27881282,46.65230952,45.82714232,46.53939438,838500,0,0
2019-10-07 00:00:00-04:00,9.898914546,10.14951927,9.841082121,9.879636765,1176800,0,0,0,0,0,0,0,0,0,24.31084735,24.50028385,24.12141235,24.23980904,745100,0,0,46.61755523,46.79127513,45.98348042,46.00954056,1547200,0,0
2019-10-08 00:00:00-04:00,9.763973236,9.903733479,9.484451831,9.763973236,1164000,0,0,0,0,0,0,0,0,0,24.08983919,24.54764078,23.92408263,24.3582058,834000,0,0,45.54049724,45.80976324,45.20174526,45.24517441,1057500,0,0
2019-10-09 00:00:00-04:00,9.812166867,9.83144373,9.021795261,9.185652733,1202800,0,0,0,0,0,0,0,0,0,24.64235486,24.88704301,24.48449314,24.78443146,538000,0,0,45.86187258,46.44383367,45.34940075,45.3928299,1200200,0,0
2019-10-10 00:00:00-04:00,9.185652182,9.253123496,8.800105752,8.906130791,1342400,0,0,0,0,0,0,0,0,0,24.78443325,25.01333479,24.71339494,24.92650986,553300,0,0,45.63604861,46.46121572,45.55787481,46.18326187,1122700,0,0
2019-10-11 00:00:00-04:00,9.089264894,9.301314944,8.829020397,8.838659286,1551000,0,0,0,0,0,0,0,0,0,25.30538171,25.62110517,25.06858685,25.08437347,738100,0,0,46.81734868,47.39930669,46.74785937,46.79997635,1063900,0,0
2019-10-14 00:00:00-04:00,8.674803599,8.713358245,8.212147848,8.443475723,885200,0,0,0,0,0,0,0,0,0,24.92651201,24.97387038,24.71339707,24.74497032,464200,0,0,46.5915007,46.97368516,46.27880553,46.61755753,709400,0,0
2019-10-15 00:00:00-04:00,8.385641396,8.559137723,7.990456136,8.029010773,1204700,0,0,0,0,0,0,0,0,0,24.6502488,24.73707373,24.02669221,24.39766884,1105400,0,0,46.56544635,47.81622378,46.07903125,47.50352859,1108300,0,0
2019-10-16 00:00:00-04:00,8.029012967,8.207328787,7.89407124,8.086845398,1631300,0,0,0,0,0,0,0,0,0,24.31873712,24.70550037,24.18455383,24.43713379,829900,0,0,47.39060567,47.81621591,46.52200955,46.59149551,1293100,0,0
2019-10-17 00:00:00-04:00,8.125398441,8.173591052,7.980817851,8.057927132,770300,0,0,0,0,0,0,0,0,0,24.63446075,24.83178902,24.42924067,24.57131577,350500,0,0,46.96500037,47.91177044,46.87814207,47.85965347,1541700,0,0
2019-10-18 00:00:00-04:00,8.01937265,8.183230103,7.836238336,7.922986507,1020400,0,0,0,0,0,0,0,0,0,24.4766031,25.06858801,24.4766031,24.76864815,426800,0,0,47.63381615,47.80753605,47.13871657,47.5990715,1533400,0,0
2019-10-21 00:00:00-04:00,7.951902218,8.486848662,7.932624438,8.376003265,861300,0,0,0,0,0,0,0,0,0,25.04491105,25.43956771,25.04491105,25.29749107,381300,0,0,47.95519981,48.38949795,47.65987694,47.98994446,1462200,0,0
2019-10-22 00:00:00-04:00,8.366364848,8.703717706,8.163952766,8.414557457,1237000,0,0,0,0,0,0,0,0,0,25.38430939,25.44745588,24.95018778,24.9659729,297200,0,0,48.19840515,49.08437037,48.00731292,48.2505188,1369200,0,0
2019-10-23 00:00:00-04:00,8.298894278,8.742273121,8.14467571,8.597693443,1131300,0,0,0,0,0,0,0,0,0,24.95808548,25.17119891,24.83179397,25.1001606,283100,0,0,48.19840819,49.01488749,48.11154658,48.32001114,1267300,0,0
2019-10-24 00:00:00-04:00,8.607330898,8.742271663,8.472389213,8.722994804,1327900,0,0,0,0,0,0,0,0,0,25.08437424,25.36063417,24.65025108,24.71339607,549500,0,0,48.59795841,48.91065358,48.25920642,48.6761322,1616900,0,0
2019-10-25 00:00:00-04:00,8.732634724,9.20010985,8.694080084,9.127820015,965300,0,0,0,0,0,0,0,0,0,25.5737458,25.5737458,23.76621807,24.06615639,1296200,0,0,48.84115821,50.04850626,48.84115821,49.87478638,1203100,0,0
2019-10-28 00:00:00-04:00,9.147097539,9.330232782,8.886853929,8.906130791,608700,0,0,0,0,0,0,0,0,0,24.21612887,24.60289215,24.05826563,24.42135048,1050700,0,0,50.13537867,51.14295023,50.13537867,50.59573364,1748100,0,0
2019-10-29 00:00:00-04:00,8.751911831,9.233845305,8.684441438,9.021794319,1510800,0,0,0,0,0,0,0,0,0,24.46871059,24.87915384,24.26348897,24.72129059,524000,0,0,50.44806747,51.07345446,50.3090889,50.37857819,1362200,0,0
2019-10-30 00:00:00-04:00,8.626608918,9.339870232,8.530222775,9.031433105,1739500,0,0,0,0,0,0,0,0,0,24.72128764,25.11594422,24.64235603,25.05279922,447700,0,0,50.41332736,50.41332736,48.86722378,49.39706802,2144300,0,0
